location_id,service
1010047882,served
1010047903,served
1010059978,served
1010058896,served
1010060967,served
1012087457,served
1012100131,served
1012095136,served
1012095164,served
1012100960,served
1016786492,served
1019189442,served
1019767344,served
1019888707,served
1019892040,served
1019891046,served
1019892704,served
1019892709,served
1024136721,served
1025757781,served
1025760521,served
1025779572,served
1024140332,served
1028401923,served
1028395966,served
1029541848,served
1030231369,served
1030232119,served
1030235890,served
1030259080,served
1030571096,served
1030439050,served
1030570387,served
1035820439,served
1035807077,served
1035816145,served
1035820446,served
1042219318,served
1042220154,served
1042220756,served
1043973232,served
1046478336,served
1053120058,served
1055115182,served
1064696454,served
1064699634,served
1064709614,served
1064709624,served
1064718548,served
1068864466,served
1068861217,served
1068861993,served
1068870721,served
1068865364,served
1068865383,served
1068867065,served
1068867103,served
1068867139,served
1068867188,served
1068867661,served
1068878449,served
1079077096,served
1079080183,served
1079083151,served
1079084015,served
1079089874,served
1079235896,served
1081929025,served
1081927301,served
1081927304,served
1081927364,served
1081929043,served
1081933913,served
1086005409,served
1088035115,served
1089594098,served
1090948552,served
1089595377,served
1090941635,served
1098583082,served
1098586997,served
1098587043,served
1098599679,served
1104590619,served
1104592484,served
1104963730,served
1109432150,served
1110182729,served
1109453443,served
1110184094,served
1110190228,served
1110187366,served
1110192865,served
1110210193,served
1110238791,served
1110231128,served
1110227632,served
1110227948,served
1110240695,served
1110245314,served
1110246855,served
1110252667,served
1110307142,served
1110309763,served
1110369347,served
1110381976,served
1110390522,served
1111039330,served
1111040889,served
1118199595,served
1118202084,served
1118205729,served
1138373110,served
1138372320,served
1288503219,served
1288500113,served
1288502447,served
1288503419,served
1288511251,served
1288554273,served
1288505417,served
1288506747,served
1288510495,served
1288625745,served
1288681013,served
1295378058,served
1295385616,served
1295400208,served
1295389604,served
1295411087,served
1295411122,served
1295419275,served
1295473506,served
1295474175,served
1295493014,served
1295499771,served
1295521183,served
1295518691,served
1295518777,served
1295614701,served
1295623320,served
1295652637,served
1295652674,served
1295720581,served
1295720951,served
1295720959,served
1295728133,served
1295733047,served
1295746383,served
1295750394,served
1295753868,served
1295756517,served
1295817280,served
1295881949,served
1295882025,served
1295888326,served
1295891442,served
1295891454,served
1295899480,served
1295899511,served
1295902546,served
1295907256,served
1295922949,served
1297143687,served
1297151446,served
1297152575,served
1297156144,served
1297166993,served
1297169776,served
1297604401,served
1298598578,served
1298707333,served
1298768414,served
1298823081,served
1298830079,served
1298830080,served
1298827758,served
1298840696,served
1298840793,served
1298840794,served
1298855957,served
1298846499,served
1298852442,served
1298843325,served
1298847650,served
1298847658,served
1298863569,served
1298873641,served
1298869733,served
1298871950,served
1303277028,served
1303277037,served
1303277060,served
